PolicyNumber,CustomerID,Gender,Age,PolicyType,PolicyStartDate,PolicyEndDate,PremiumAmount,CoverageAmount,ClaimNumber,ClaimDate,ClaimAmount,ClaimStatus
P2915,C2915,Female,23,Life,15-08-2023,15-08-2024,428.31,48096,C2915,01-08-2024,4878.42,Pending
P2916,C2916,Male,24,Travel,23-04-2024,23-04-2025,260.76,99681.61,C2916,NULL,0,Rejected
P2917,C2917,Female,44,Auto,20-02-2024,20-02-2025,1056.06,10946.28,C2917,11-05-2024,5022.25,Settled
P2918,C2918,Male,66,Travel,24-08-2023,24-08-2024,842.22,95501.88,C2918,01-09-2023,5428.7,Pending
P2919,C2919,Female,75,Travel,22-09-2023,22-09-2024,860.78,90506.01,C2919,06-05-2024,1795.86,Pending
P2920,C2920,Male,22,Travel,13-04-2024,13-04-2025,116.05,22186.33,C2920,NULL,0,Rejected
P2921,C2921,Female,38,Travel,01-02-2024,01-02-2025,270.66,19016.27,C2921,26-05-2024,1657.47,Pending
P2922,C2922,Male,25,Travel,27-01-2024,27-01-2025,132.81,33565.97,C2922,NULL,0,Rejected
P2923,C2923,Female,43,Travel,13-11-2023,13-11-2024,781.68,97112.38,C2923,23-10-2024,4033.12,Settled
P2924,C2924,Male,53,Auto,21-02-2024,21-02-2025,1072.08,105133.01,C2924,21-02-2025,5285.85,Pending
P2925,C2925,Female,25,Auto,04-11-2023,04-11-2024,890.21,85537.84,C2925,15-05-2024,3913.23,Pending
P2926,C2926,Male,70,Home,26-12-2023,26-12-2024,771.44,18247.03,C2926,20-07-2024,3279.26,Settled
P2927,C2927,Female,61,Travel,25-04-2024,25-04-2025,705.26,56546.34,C2927,14-01-2025,5178.19,Settled
P2928,C2928,Male,72,Life,10-04-2024,10-04-2025,1084.65,40219.36,C2928,NULL,0,Rejected
P2929,C2929,Female,71,Auto,21-03-2024,21-03-2025,859.63,93062.48,C2929,31-12-2024,1030.02,Pending
P2930,C2930,Male,66,Travel,28-09-2023,28-09-2024,1047.73,21865.08,C2930,18-11-2023,5132.53,Pending
P2931,C2931,Female,79,Life,18-08-2023,18-08-2024,894.82,49644.14,C2931,NULL,0,Rejected
P2932,C2932,Male,50,Travel,28-10-2023,28-10-2024,540.21,66389.58,C2932,03-07-2024,2333.88,Settled
P2933,C2933,Female,42,Travel,02-07-2024,02-07-2025,304.9,44410.66,C2933,29-03-2025,4893.45,Settled
P2934,C2934,Male,24,Travel,28-07-2023,28-07-2024,445.42,60722.99,C2934,05-07-2024,3758.57,Settled
P2935,C2935,Female,58,Health,01-09-2023,01-09-2024,718.64,61433.53,C2935,NULL,0,Rejected
P2936,C2936,Male,54,Auto,30-09-2023,30-09-2024,846.52,85550.34,C2936,NULL,0,Rejected
P2937,C2937,Female,84,Travel,26-03-2024,26-03-2025,426.68,101908.62,C2937,NULL,0,Rejected
P2938,C2938,Male,80,Life,24-12-2023,24-12-2024,920.19,32011.9,C2938,NULL,0,Rejected
P2939,C2939,Female,27,Travel,28-12-2023,28-12-2024,106.4,16225.71,C2939,NULL,0,Rejected
P2940,C2940,Male,34,Travel,08-08-2023,08-08-2024,371.88,10200.42,C2940,23-03-2024,5100.01,Pending
P2941,C2941,Female,33,Health,08-05-2024,08-05-2025,339.42,64834.1,C2941,NULL,0,Rejected
P2942,C2942,Male,70,Auto,02-10-2023,02-10-2024,682.37,45253.1,C2942,30-10-2023,3045.83,Settled
P2943,C2943,Female,35,Life,11-04-2024,11-04-2025,390.31,103614.89,C2943,NULL,0,Rejected
P2944,C2944,Male,72,Health,27-05-2024,27-05-2025,983.46,109211.54,C2944,NULL,0,Rejected
P2945,C2945,Female,40,Travel,12-01-2024,12-01-2025,694.52,77683.05,C2945,27-01-2024,4939.01,Settled
P2946,C2946,Male,60,Travel,05-09-2023,05-09-2024,213.83,81113.6,C2946,02-03-2024,631.5,Settled
P2947,C2947,Female,73,Health,24-06-2024,24-06-2025,921.86,31279.56,C2947,NULL,0,Rejected
P2948,C2948,Male,44,Health,27-06-2024,27-06-2025,472.48,21137.01,C2948,NULL,0,Rejected
P2949,C2949,Female,57,Travel,01-05-2024,01-05-2025,861.06,83757.17,C2949,NULL,0,Rejected
P2950,C2950,Male,77,Travel,24-11-2023,24-11-2024,571.59,106918.53,C2950,NULL,0,Rejected
P2951,C2951,Female,23,Travel,08-04-2024,08-04-2025,818,84053.27,C2951,16-09-2024,2582.4,Settled
P2952,C2952,Male,47,Life,18-01-2024,18-01-2025,561.49,24445.34,C2952,13-12-2024,3959.51,Settled
P2953,C2953,Female,74,Travel,03-06-2024,03-06-2025,980.65,20062.12,C2953,06-09-2024,1489.65,Settled
P2954,C2954,Male,22,Life,28-07-2023,28-07-2024,769.16,49521.99,C2954,NULL,0,Rejected
P2955,C2955,Female,79,Travel,06-01-2024,06-01-2025,369.81,25009.93,C2955,NULL,0,Rejected
P2956,C2956,Male,69,Travel,28-09-2023,28-09-2024,1007.38,38468.69,C2956,NULL,0,Rejected
P2957,C2957,Female,84,Travel,29-01-2024,29-01-2025,161.1,38726.56,C2957,NULL,0,Rejected
P2958,C2958,Male,21,Auto,26-02-2024,26-02-2025,263.62,100530.12,C2958,01-04-2024,2644.36,Settled
P2959,C2959,Female,38,Auto,19-04-2024,19-04-2025,1062.84,16379.29,C2959,NULL,0,Rejected
P2960,C2960,Male,24,Travel,02-07-2024,02-07-2025,154.33,17074.1,C2960,NULL,0,Rejected
P2961,C2961,Female,23,Travel,17-08-2023,17-08-2024,629.17,97419.84,C2961,14-10-2023,4572.36,Settled
P2962,C2962,Male,66,Travel,10-10-2023,10-10-2024,193.88,60010.59,C2962,12-08-2024,1056.33,Settled
P2963,C2963,Female,51,Travel,13-03-2024,13-03-2025,991.84,92621.33,C2963,11-12-2024,1986.4,Settled
P2964,C2964,Male,59,Travel,22-03-2024,22-03-2025,475.32,35168.18,C2964,NULL,0,Rejected
P2965,C2965,Female,42,Auto,27-11-2023,27-11-2024,426.41,86064.28,C2965,NULL,0,Rejected
P2966,C2966,Male,87,Home,17-12-2023,17-12-2024,711.88,95949.73,C2966,07-03-2024,4385.57,Settled
P2967,C2967,Female,72,Home,31-12-2023,31-12-2024,231.78,75894.33,C2967,NULL,0,Rejected
P2968,C2968,Male,42,Health,12-07-2024,12-07-2025,736.42,35265.04,C2968,NULL,0,Rejected
P2969,C2969,Female,23,Travel,18-06-2024,18-06-2025,795.1,78130.47,C2969,NULL,0,Rejected
P2970,C2970,Male,75,Travel,18-10-2023,18-10-2024,666.86,34905.71,C2970,29-01-2024,925.65,Settled
P2971,C2971,Female,50,Health,06-04-2024,06-04-2025,794.85,98400.66,C2971,NULL,0,Rejected
P2972,C2972,Male,46,Life,06-10-2023,06-10-2024,399.42,30130.91,C2972,NULL,0,Rejected
P2973,C2973,Female,32,Auto,10-07-2024,10-07-2025,896.87,99749.89,C2973,19-03-2025,4735.8,Settled
P2974,C2974,Male,75,Travel,16-11-2023,16-11-2024,989.42,97905.03,C2974,31-03-2024,4954.01,Pending
P2975,C2975,Female,74,Life,06-07-2024,06-07-2025,176.39,71227.61,C2975,11-03-2025,4376.18,Settled
P2976,C2976,Male,63,Travel,09-01-2024,09-01-2025,633.96,84311.62,C2976,14-07-2024,1748.24,Pending
P2977,C2977,Female,82,Auto,10-08-2023,10-08-2024,796.58,46216.9,C2977,05-03-2024,3085.79,Pending
P2978,C2978,Male,36,Home,13-09-2023,13-09-2024,695.14,100905.32,C2978,NULL,0,Rejected
P2979,C2979,Female,34,Auto,02-12-2023,02-12-2024,350.29,44402.67,C2979,27-07-2024,4206.39,Pending
P2980,C2980,Male,46,Travel,10-04-2024,10-04-2025,878.68,43159.15,C2980,11-10-2024,2810.56,Pending
P2981,C2981,Female,46,Health,18-10-2023,18-10-2024,916.25,38368.49,C2981,09-05-2024,1384.89,Settled
P2982,C2982,Male,32,Travel,29-07-2023,29-07-2024,770.94,71669.3,C2982,24-02-2024,1705.62,Settled
P2983,C2983,Female,73,Life,16-06-2024,16-06-2025,190.2,58503.81,C2983,NULL,0,Rejected
P2984,C2984,Male,26,Travel,22-11-2023,22-11-2024,294.31,96056.65,C2984,06-01-2024,2815.99,Pending
P2985,C2985,Female,83,Auto,06-05-2024,06-05-2025,564.01,78133.81,C2985,19-10-2024,1272.64,Settled
P2986,C2986,Male,32,Home,25-12-2023,25-12-2024,411.06,22994.56,C2986,19-11-2024,4490.32,Pending
P2987,C2987,Female,54,Travel,20-10-2023,20-10-2024,639.08,25700.71,C2987,27-09-2024,3197.18,Pending
P2988,C2988,Male,69,Travel,04-03-2024,04-03-2025,1021.89,57557.78,C2988,NULL,0,Rejected
P2989,C2989,Female,19,Travel,30-03-2024,30-03-2025,322.05,106670.06,C2989,NULL,0,Rejected
P2990,C2990,Male,34,Home,06-11-2023,06-11-2024,277.08,80421.04,C2990,NULL,0,Rejected
P2991,C2991,Female,39,Health,18-08-2023,18-08-2024,238.48,27407.97,C2991,29-09-2023,3687.58,Pending
P2992,C2992,Male,20,Home,16-06-2024,16-06-2025,954.99,32636.34,C2992,15-08-2024,5044.39,Settled
P2993,C2993,Female,84,Auto,02-04-2024,02-04-2025,147.29,24360.9,C2993,10-10-2024,1633.66,Pending
P2994,C2994,Male,61,Health,27-06-2024,27-06-2025,463.84,67592.1,C2994,21-07-2024,1923.51,Settled
P2995,C2995,Female,32,Auto,02-03-2024,02-03-2025,343.48,86739.62,C2995,NULL,0,Rejected
P2996,C2996,Male,82,Life,05-02-2024,05-02-2025,337.88,87746.19,C2996,25-12-2024,3881.7,Settled
P2997,C2997,Female,43,Travel,18-04-2024,18-04-2025,823.31,102417.29,C2997,NULL,0,Rejected
P2998,C2998,Male,75,Travel,19-03-2024,19-03-2025,611.98,64380.2,C2998,NULL,0,Rejected
P2999,C2999,Female,63,Life,08-02-2024,08-02-2025,463.05,81711.8,C2999,01-09-2024,2341.89,Settled
P3000,C3000,Male,24,Travel,23-08-2023,23-08-2024,116.98,30339.25,C3000,20-06-2024,733.5,Pending
P3001,C3001,Female,35,Travel,24-06-2024,24-06-2025,124.51,104161.53,C3001,07-03-2025,1569.97,Pending
P3002,C3002,Male,18,Travel,14-07-2023,14-07-2024,799.37,33101.94,C3002,12-06-2024,5193.59,Settled
P3003,C3003,Female,64,Travel,23-08-2023,23-08-2024,566.95,70571.08,C3003,NULL,0,Rejected
P3004,C3004,Male,77,Travel,18-11-2023,18-11-2024,614.48,24108.81,C3004,NULL,0,Rejected
P3005,C3005,Female,61,Health,25-06-2024,25-06-2025,1069.46,87823.6,C3005,18-10-2024,1756.01,Pending
P3006,C3006,Male,62,Travel,17-12-2023,17-12-2024,951.21,41356.26,C3006,NULL,0,Rejected
P3007,C3007,Female,46,Health,23-10-2023,23-10-2024,157.56,86283.52,C3007,NULL,0,Rejected
P3008,C3008,Male,22,Travel,26-08-2023,26-08-2024,292.15,63350,C3008,07-10-2023,4832.48,Settled
P3009,C3009,Female,81,Auto,05-10-2023,05-10-2024,510.57,24509.95,C3009,NULL,0,Rejected
P3010,C3010,Male,85,Life,18-01-2024,18-01-2025,888.82,27241.57,C3010,NULL,0,Rejected
P3011,C3011,Female,42,Travel,25-11-2023,25-11-2024,903.33,54518.59,C3011,NULL,0,Rejected
P3012,C3012,Male,64,Travel,25-03-2024,25-03-2025,366.67,51092.33,C3012,12-12-2024,2044.01,Settled
P3013,C3013,Female,34,Life,12-12-2023,12-12-2024,786.57,74676.87,C3013,01-04-2024,3900.55,Pending
P3014,C3014,Male,29,Auto,08-07-2024,08-07-2025,198.84,27390.85,C3014,23-07-2024,4113.72,Settled
P3015,C3015,Female,84,Health,09-07-2024,09-07-2025,954.62,106932.12,C3015,NULL,0,Rejected
P3016,C3016,Male,83,Travel,28-11-2023,28-11-2024,795.79,77140.62,C3016,11-11-2024,618.39,Pending
P3017,C3017,Female,49,Auto,03-02-2024,03-02-2025,1016.7,76183.95,C3017,NULL,0,Rejected
P3018,C3018,Male,82,Home,24-07-2023,24-07-2024,948.1,73504.82,C3018,NULL,0,Rejected
P3019,C3019,Female,26,Travel,14-10-2023,14-10-2024,558.44,36776.95,C3019,NULL,0,Rejected
P3020,C3020,Male,70,Health,08-07-2024,08-07-2025,990.98,42404.39,C3020,01-07-2025,906.45,Pending
P3021,C3021,Female,69,Travel,01-12-2023,01-12-2024,246.85,75014.67,C3021,23-02-2024,2334.13,Pending
P3022,C3022,Male,70,Health,03-09-2023,03-09-2024,771.19,21082.52,C3022,12-12-2023,737.59,Pending
P3023,C3023,Female,48,Auto,03-11-2023,03-11-2024,340.77,45084.75,C3023,02-06-2024,4045.49,Pending
P3024,C3024,Male,54,Travel,31-10-2023,31-10-2024,370.09,10516.98,C3024,10-02-2024,5046.99,Pending
P3025,C3025,Female,31,Travel,21-12-2023,21-12-2024,471.75,62524.05,C3025,NULL,0,Rejected
P3026,C3026,Male,85,Life,11-04-2024,11-04-2025,784.99,57093.58,C3026,NULL,0,Rejected
P3027,C3027,Female,46,Health,10-11-2023,10-11-2024,574.67,32315.9,C3027,16-08-2024,4354.17,Settled
P3028,C3028,Male,71,Travel,02-04-2024,02-04-2025,967.66,57336.21,C3028,11-02-2025,2112.7,Settled
P3029,C3029,Female,41,Health,30-08-2023,30-08-2024,551.33,34201.44,C3029,05-04-2024,4277.54,Settled
P3030,C3030,Male,27,Home,29-11-2023,29-11-2024,850.74,70159.23,C3030,11-02-2024,4225.25,Settled
P3031,C3031,Female,27,Health,26-04-2024,26-04-2025,1061.78,32654.63,C3031,18-07-2024,3760.2,Settled
P3032,C3032,Male,65,Travel,25-08-2023,25-08-2024,1026.89,39319.64,C3032,01-09-2023,3594.99,Settled
P3033,C3033,Female,37,Travel,29-01-2024,29-01-2025,541.16,73612.75,C3033,17-05-2024,5346.59,Settled
P3034,C3034,Male,30,Home,03-07-2024,03-07-2025,960.55,10882.28,C3034,24-09-2024,3916.89,Settled
P3035,C3035,Female,39,Auto,13-09-2023,13-09-2024,433.57,26147.23,C3035,NULL,0,Rejected
P3036,C3036,Male,42,Travel,04-02-2024,04-02-2025,765.87,26346.1,C3036,NULL,0,Rejected
P3037,C3037,Female,49,Travel,02-11-2023,02-11-2024,420.63,15311.34,C3037,NULL,0,Rejected
P3038,C3038,Male,58,Travel,13-11-2023,13-11-2024,969.14,100393.23,C3038,NULL,0,Rejected
P3039,C3039,Female,81,Auto,15-09-2023,15-09-2024,589.54,46727.66,C3039,NULL,0,Rejected
P3040,C3040,Male,64,Travel,29-06-2024,29-06-2025,477.27,19649.31,C3040,13-05-2025,2796.36,Settled
P3041,C3041,Female,46,Auto,30-04-2024,30-04-2025,537.48,87413.09,C3041,NULL,0,Rejected
P3042,C3042,Male,40,Travel,20-07-2023,20-07-2024,117.77,85350.82,C3042,15-09-2023,4210.62,Settled
P3043,C3043,Female,52,Home,06-04-2024,06-04-2025,423.72,25329.04,C3043,NULL,0,Rejected
P3044,C3044,Male,29,Health,30-06-2024,30-06-2025,931.35,35627.42,C3044,22-05-2025,4749.48,Pending
P3045,C3045,Female,64,Travel,06-10-2023,06-10-2024,418.35,70147.8,C3045,NULL,0,Rejected
P3046,C3046,Male,26,Home,18-12-2023,18-12-2024,493.75,14905.77,C3046,18-01-2024,2115.09,Settled
P3047,C3047,Female,43,Home,05-07-2024,05-07-2025,610.91,78515.42,C3047,NULL,0,Rejected
P3048,C3048,Male,68,Travel,25-07-2023,25-07-2024,502.58,85326.26,C3048,11-06-2024,3436.05,Settled
P3049,C3049,Female,28,Travel,31-08-2023,31-08-2024,479.62,84590.99,C3049,NULL,0,Rejected
P3050,C3050,Male,23,Home,06-02-2024,06-02-2025,647.76,74262.44,C3050,26-12-2024,1496.34,Settled
P3051,C3051,Female,39,Travel,06-03-2024,06-03-2025,645.64,44094.08,C3051,03-02-2025,4796.58,Pending
P3052,C3052,Male,55,Travel,01-02-2024,01-02-2025,399.8,26960.97,C3052,20-06-2024,5314.1,Settled
P3053,C3053,Female,82,Travel,26-07-2023,26-07-2024,485.51,38376.15,C3053,13-01-2024,3466.41,Settled
P3054,C3054,Male,61,Travel,27-08-2023,27-08-2024,299,86265.81,C3054,NULL,0,Rejected
P3055,C3055,Female,80,Health,24-08-2023,24-08-2024,617.67,15944.64,C3055,29-12-2023,1690.88,Pending
P3056,C3056,Male,22,Travel,23-09-2023,23-09-2024,619.03,19847.04,C3056,01-12-2023,4829.06,Settled
P3057,C3057,Female,73,Travel,15-04-2024,15-04-2025,788.96,94983.57,C3057,26-02-2025,3062.03,Settled
P3058,C3058,Male,46,Health,14-07-2023,14-07-2024,1005.75,68476.08,C3058,NULL,0,Rejected
P3059,C3059,Female,24,Travel,15-08-2023,15-08-2024,156.53,58340.38,C3059,20-11-2023,4928.82,Pending
P3060,C3060,Male,74,Health,09-01-2024,09-01-2025,976.57,75165.44,C3060,05-09-2024,5496.36,Pending
P3061,C3061,Female,25,Travel,20-12-2023,20-12-2024,1097.71,80539.72,C3061,26-12-2023,3184.43,Settled
P3062,C3062,Male,50,Auto,08-04-2024,08-04-2025,1044.3,61706.11,C3062,NULL,0,Rejected
P3063,C3063,Female,77,Travel,22-02-2024,22-02-2025,948.92,88894.21,C3063,04-09-2024,3114.77,Settled
P3064,C3064,Male,82,Travel,07-02-2024,07-02-2025,943.75,39857.38,C3064,12-08-2024,4168.35,Settled
P3065,C3065,Female,20,Travel,16-01-2024,16-01-2025,595.01,87557.01,C3065,NULL,0,Rejected
P3066,C3066,Male,32,Travel,17-03-2024,17-03-2025,352,96815.15,C3066,NULL,0,Rejected
P3067,C3067,Female,52,Auto,24-12-2023,24-12-2024,419.71,47878.31,C3067,22-01-2024,4454.97,Settled
P3068,C3068,Male,34,Travel,11-05-2024,11-05-2025,677.07,108056.1,C3068,13-05-2024,3768.29,Pending
P3069,C3069,Female,36,Travel,23-01-2024,23-01-2025,398.37,84831.09,C3069,NULL,0,Rejected
P3070,C3070,Male,78,Health,26-04-2024,26-04-2025,524.56,92326.47,C3070,02-08-2024,2616.33,Pending
P3071,C3071,Female,80,Travel,04-02-2024,04-02-2025,285.49,44915.22,C3071,14-11-2024,3695.74,Settled
P3072,C3072,Male,60,Travel,30-08-2023,30-08-2024,397.58,51879.12,C3072,29-01-2024,1082.19,Pending
P3073,C3073,Female,59,Travel,30-09-2023,30-09-2024,218.37,37139.43,C3073,28-07-2024,4737.79,Settled
P3074,C3074,Male,84,Travel,14-12-2023,14-12-2024,395.42,62943.92,C3074,12-07-2024,3032.06,Settled
P3075,C3075,Female,65,Travel,06-02-2024,06-02-2025,356.82,62335.42,C3075,NULL,0,Rejected
P3076,C3076,Male,80,Home,05-06-2024,05-06-2025,420.5,15465.26,C3076,13-03-2025,4629.98,Pending
P3077,C3077,Female,60,Health,21-11-2023,21-11-2024,714.48,50314.51,C3077,11-01-2024,4186.37,Pending
P3078,C3078,Male,76,Health,10-08-2023,10-08-2024,710.9,103929.26,C3078,03-04-2024,3203.43,Pending
P3079,C3079,Female,66,Auto,01-06-2024,01-06-2025,767.72,46282.65,C3079,01-11-2024,2099.22,Settled
P3080,C3080,Male,42,Travel,04-12-2023,04-12-2024,989.66,83865.66,C3080,NULL,0,Rejected
P3081,C3081,Female,44,Travel,31-08-2023,31-08-2024,304.26,102917.49,C3081,NULL,0,Rejected
P3082,C3082,Male,29,Travel,28-06-2024,28-06-2025,442.17,96492.52,C3082,NULL,0,Rejected
P3083,C3083,Female,68,Travel,08-12-2023,08-12-2024,160.52,21604.46,C3083,NULL,0,Rejected
P3084,C3084,Male,71,Health,27-10-2023,27-10-2024,1016.38,66510.97,C3084,14-10-2024,5088.09,Settled
P3085,C3085,Female,71,Health,11-05-2024,11-05-2025,149.11,107679.86,C3085,27-01-2025,4607.69,Pending
P3086,C3086,Male,80,Health,01-04-2024,01-04-2025,594.68,20152.72,C3086,23-02-2025,2470.46,Pending
P3087,C3087,Female,23,Auto,23-04-2024,23-04-2025,1018.88,15487.45,C3087,NULL,0,Rejected
P3088,C3088,Male,79,Home,17-07-2023,17-07-2024,710.02,46867.13,C3088,NULL,0,Rejected
P3089,C3089,Female,46,Auto,05-08-2023,05-08-2024,668.46,85102.56,C3089,NULL,0,Rejected
P3090,C3090,Male,24,Travel,21-12-2023,21-12-2024,769.72,28320.92,C3090,26-03-2024,2228.7,Pending
P3091,C3091,Female,33,Life,28-03-2024,28-03-2025,456.71,29196.87,C3091,NULL,0,Rejected
P3092,C3092,Male,20,Auto,12-03-2024,12-03-2025,763.83,26969.42,C3092,NULL,0,Rejected
P3093,C3093,Female,32,Life,27-03-2024,27-03-2025,319.17,83130.44,C3093,01-05-2024,4345.6,Settled
P3094,C3094,Male,35,Health,24-06-2024,24-06-2025,1099.47,107460.28,C3094,27-07-2024,5419.95,Pending
P3095,C3095,Female,19,Home,18-08-2023,18-08-2024,620.97,39071.67,C3095,NULL,0,Rejected
P3096,C3096,Male,24,Health,30-04-2024,30-04-2025,457.58,98283.84,C3096,19-04-2025,2175.68,Settled
P3097,C3097,Female,57,Health,07-10-2023,07-10-2024,651.36,21170.75,C3097,30-11-2023,5354.33,Settled
P3098,C3098,Male,21,Travel,25-08-2023,25-08-2024,329.88,15204.18,C3098,NULL,0,Rejected
P3099,C3099,Female,74,Travel,12-03-2024,12-03-2025,555.39,27362.17,C3099,31-05-2024,4010.45,Settled
P3100,C3100,Male,43,Travel,09-02-2024,09-02-2025,570.06,97472.19,C3100,31-07-2024,2725.56,Settled
P3101,C3101,Female,61,Travel,28-01-2024,28-01-2025,955.41,83792.35,C3101,NULL,0,Rejected
P3102,C3102,Male,54,Travel,18-03-2024,18-03-2025,491.86,45132.07,C3102,12-05-2024,2183.54,Pending
P3103,C3103,Female,75,Travel,17-08-2023,17-08-2024,704.37,86563.48,C3103,01-08-2024,789.84,Settled
P3104,C3104,Male,26,Auto,06-06-2024,06-06-2025,365.88,70704.81,C3104,NULL,0,Rejected
P3105,C3105,Female,45,Travel,27-12-2023,27-12-2024,445.81,99756.9,C3105,NULL,0,Rejected
P3106,C3106,Male,75,Health,27-08-2023,27-08-2024,914.24,49947.82,C3106,19-03-2024,3930.02,Pending
P3107,C3107,Female,52,Auto,24-11-2023,24-11-2024,847.48,69838.39,C3107,28-05-2024,1207.12,Settled
P3108,C3108,Male,34,Health,17-10-2023,17-10-2024,187.76,95266.45,C3108,06-11-2023,1443.26,Settled
P3109,C3109,Female,67,Life,22-05-2024,22-05-2025,986.87,30550.38,C3109,NULL,0,Rejected
P3110,C3110,Male,35,Travel,22-12-2023,22-12-2024,752.32,91209.63,C3110,30-01-2024,3453.65,Settled
P3111,C3111,Female,48,Travel,14-10-2023,14-10-2024,846.52,37771.23,C3111,NULL,0,Rejected
P3112,C3112,Male,83,Travel,24-05-2024,24-05-2025,667.28,38951.01,C3112,NULL,0,Rejected
P3113,C3113,Female,48,Auto,19-12-2023,19-12-2024,264.27,51634.72,C3113,NULL,0,Rejected
P3114,C3114,Male,61,Travel,21-05-2024,21-05-2025,1044.03,26343.93,C3114,26-11-2024,1595.23,Pending
P3115,C3115,Female,25,Health,29-04-2024,29-04-2025,721.81,108544.93,C3115,NULL,0,Rejected
P3116,C3116,Male,20,Travel,21-07-2023,21-07-2024,879.87,35124.09,C3116,NULL,0,Rejected
P3117,C3117,Female,73,Travel,25-12-2023,25-12-2024,783.58,70751.04,C3117,NULL,0,Rejected
P3118,C3118,Male,50,Travel,30-05-2024,30-05-2025,401.48,14312.68,C3118,NULL,0,Rejected
P3119,C3119,Female,80,Life,19-04-2024,19-04-2025,168.29,43331.57,C3119,21-07-2024,4248.6,Pending
P3120,C3120,Male,25,Auto,20-03-2024,20-03-2025,744.27,80525.08,C3120,17-12-2024,2173.6,Pending
P3121,C3121,Female,61,Auto,31-08-2023,31-08-2024,634.07,108726.22,C3121,09-09-2023,3608.56,Settled
P3122,C3122,Male,62,Travel,05-04-2024,05-04-2025,858.75,20105.82,C3122,NULL,0,Rejected
P3123,C3123,Female,40,Travel,23-03-2024,23-03-2025,736.07,30036.64,C3123,NULL,0,Rejected
P3124,C3124,Male,26,Life,03-04-2024,03-04-2025,1008.96,104675.56,C3124,01-03-2025,1272.14,Settled
P3125,C3125,Female,61,Auto,28-05-2024,28-05-2025,354.08,91046.85,C3125,12-03-2025,1007.03,Settled
P3126,C3126,Male,81,Auto,16-04-2024,16-04-2025,140.77,65536.19,C3126,NULL,0,Rejected
P3127,C3127,Female,84,Travel,27-06-2024,27-06-2025,321.62,67682.5,C3127,09-11-2024,5358.02,Pending
P3128,C3128,Male,57,Auto,17-05-2024,17-05-2025,102.91,68207.06,C3128,NULL,0,Rejected
P3129,C3129,Female,25,Travel,14-01-2024,14-01-2025,194.73,78642.83,C3129,30-04-2024,5157.37,Settled
P3130,C3130,Male,44,Travel,07-10-2023,07-10-2024,1090.9,54238.89,C3130,NULL,0,Rejected
P3131,C3131,Female,43,Health,13-04-2024,13-04-2025,172.92,75668.52,C3131,NULL,0,Rejected
P3132,C3132,Male,46,Life,03-08-2023,03-08-2024,658.86,67440.54,C3132,04-07-2024,5270.32,Settled
P3133,C3133,Female,46,Travel,22-05-2024,22-05-2025,1078.53,92488.5,C3133,07-03-2025,1097.9,Settled
P3134,C3134,Male,85,Travel,22-05-2024,22-05-2025,867.66,53988.97,C3134,NULL,0,Rejected
P3135,C3135,Female,70,Home,03-02-2024,03-02-2025,1072.08,91534.8,C3135,NULL,0,Rejected
P3136,C3136,Male,50,Health,31-01-2024,31-01-2025,1032.66,67720.35,C3136,04-03-2024,1538.63,Pending
P3137,C3137,Female,24,Travel,14-06-2024,14-06-2025,725.95,57778.97,C3137,02-03-2025,696.45,Pending
P3138,C3138,Male,44,Health,20-03-2024,20-03-2025,111.77,17192.56,C3138,NULL,0,Rejected
P3139,C3139,Female,63,Life,10-05-2024,10-05-2025,250.84,85207.22,C3139,NULL,0,Rejected
P3140,C3140,Male,27,Travel,19-06-2024,19-06-2025,116.73,60849.08,C3140,NULL,0,Rejected
P3141,C3141,Female,36,Auto,01-06-2024,01-06-2025,634.2,83048.84,C3141,NULL,0,Rejected
P3142,C3142,Male,84,Travel,27-09-2023,27-09-2024,729.84,80555.77,C3142,02-01-2024,2909.88,Settled
P3143,C3143,Female,66,Travel,17-11-2023,17-11-2024,499.91,61882.66,C3143,13-03-2024,2631.08,Pending
P3144,C3144,Male,24,Travel,26-05-2024,26-05-2025,192.26,66244.3,C3144,NULL,0,Rejected
P3145,C3145,Female,54,Life,13-10-2023,13-10-2024,881.27,48713.96,C3145,04-11-2023,2631.67,Pending
P3146,C3146,Male,50,Health,03-06-2024,03-06-2025,618.86,40153.36,C3146,NULL,0,Rejected
P3147,C3147,Female,66,Travel,06-11-2023,06-11-2024,775,82609.42,C3147,27-09-2024,4262.64,Pending
P3148,C3148,Male,55,Health,05-01-2024,05-01-2025,634.17,49440.63,C3148,30-07-2024,753.95,Pending
P3149,C3149,Female,45,Home,21-02-2024,21-02-2025,1039.41,109066.35,C3149,28-11-2024,3763.59,Settled
P3150,C3150,Male,74,Travel,05-10-2023,05-10-2024,489,108020.85,C3150,NULL,0,Rejected
P3151,C3151,Female,52,Travel,20-02-2024,20-02-2025,332.33,65374.83,C3151,17-07-2024,2646.42,Settled
P3152,C3152,Male,67,Life,25-05-2024,25-05-2025,305.78,62974.24,C3152,20-12-2024,5044.25,Pending
P3153,C3153,Female,32,Life,24-11-2023,24-11-2024,451.27,62265.25,C3153,NULL,0,Rejected
P3154,C3154,Male,19,Auto,28-04-2024,28-04-2025,113.27,108339.46,C3154,12-05-2024,5255.89,Pending
P3155,C3155,Female,23,Travel,30-09-2023,30-09-2024,949.34,62132.75,C3155,15-01-2024,4719.7,Settled
P3156,C3156,Male,52,Life,08-02-2024,08-02-2025,532.35,32921.22,C3156,06-06-2024,658.82,Pending
